pair_id,source,destination,euclid_m,algorithm,heuristic,gender,social,age,vehicle,time_bucket,weather,success,nodes_expanded,nodes_generated,revisits,max_frontier_size,path_length_edges,path_length_meters,path_cost,depth,effective_branching_factor,predicted_cost_at_start,predicted_vs_actual_gap,runtime_seconds
2,3305890231,2442677670,3251.3304571861167,bfs,n/a,female,accompanied,elderly,car,afternoon,clear,True,3598,3770,5532,184,57,4998.320633309765,193016.16958168667,57,1.1083895636218202,0.0,0.0,0.005002172998501919
2,3305890231,2442677670,3251.3304571861167,dfs,n/a,female,accompanied,elderly,car,afternoon,clear,True,2397,3180,3177,784,1179,99857.13263084243,2960506.3150300724,1179,1.0447354128499333,0.0,0.0,0.007190538999566343
2,3305890231,2442677670,3251.3304571861167,ucs,n/a,female,accompanied,elderly,car,afternoon,clear,True,5109,5970,661,238,77,4776.249268502304,156906.80613357126,77,1.0802093771628483,0.0,0.0,0.033265411999309435
2,3305890231,2442677670,3251.3304571861167,greedy,zero,female,accompanied,elderly,car,afternoon,clear,True,3598,3770,5532,184,57,4998.320633309765,193016.16958168667,57,1.1083895636218202,0.0,193016.16958168667,0.005931548002990894
2,3305890231,2442677670,3251.3304571861167,greedy,haversine_admissible,female,accompanied,elderly,car,afternoon,clear,True,237,328,369,92,93,5671.326493961529,217838.15941268133,93,1.0176666488528274,4865.254240087509,212972.90517259383,0.00112224199983757
2,3305890231,2442677670,3251.3304571861167,greedy,network_relaxed,female,accompanied,elderly,car,afternoon,clear,True,62,124,66,63,61,4503.250464436979,174729.52912440468,61,1.0000001997900971,6087.765819179326,168641.76330522535,0.00031635099730920047
2,3305890231,2442677670,3251.3304571861167,greedy,haversine_time,female,accompanied,elderly,car,afternoon,clear,True,237,328,369,92,93,5671.326493961529,217838.15941268133,93,1.0176666488528274,836.05640327643,217002.1030094049,0.0012833180007874034
2,3305890231,2442677670,3251.3304571861167,greedy,context_aware,female,accompanied,elderly,car,afternoon,clear,True,237,328,369,92,93,5671.326493961529,217838.15941268133,93,1.0176666488528274,6714.050851320762,211124.10856136057,0.000993246998405084
2,3305890231,2442677670,3251.3304571861167,greedy,learned_history,female,accompanied,elderly,car,afternoon,clear,True,230,321,364,92,89,5622.817703500728,213862.8156634722,89,1.0187097514570762,6805.490127339521,207057.32553613267,0.0014567670004907995
2,3305890231,2442677670,3251.3304571861167,astar,zero,female,accompanied,elderly,car,afternoon,clear,True,5109,5970,661,238,77,4776.249268502304,156906.80613357126,77,1.0802093771628483,0.0,156906.80613357126,0.034117049995984416
2,3305890231,2442677670,3251.3304571861167,astar,haversine_admissible,female,accompanied,elderly,car,afternoon,clear,True,4528,5291,580,189,77,4776.249268502304,156906.80613357126,77,1.0781919014367358,4865.254240087509,152041.55189348376,0.043705354000849184
2,3305890231,2442677670,3251.3304571861167,astar,network_relaxed,female,accompanied,elderly,car,afternoon,clear,True,4454,5205,577,180,77,4776.249268502304,156906.80613357126,77,1.0779161105902817,6087.765819179326,150819.04031439192,0.03250242200010689
2,3305890231,2442677670,3251.3304571861167,astar,haversine_time,female,accompanied,elderly,car,afternoon,clear,True,5012,5868,644,236,77,4776.249268502304,156906.80613357126,77,1.0798893924691966,836.05640327643,156070.74973029483,0.0496689029969275
2,3305890231,2442677670,3251.3304571861167,astar,context_aware,female,accompanied,elderly,car,afternoon,clear,True,4397,5127,556,176,77,4776.249268502304,156906.80613357126,77,1.0777004619516026,6714.050851320762,150192.7552822505,0.04197443600423867
2,3305890231,2442677670,3251.3304571861167,astar,learned_history,female,accompanied,elderly,car,afternoon,clear,True,4392,5118,554,177,77,4776.249268502304,156906.80613357126,77,1.0776814091270175,6805.490127339521,150101.31600623173,0.04960582299827365
2,3305890231,2442677670,3251.3304571861167,weighted_astar,zero,female,accompanied,elderly,car,afternoon,clear,True,5109,5970,661,238,77,4776.249268502304,156906.80613357126,77,1.0802093771628483,0.0,156906.80613357126,0.03369049000320956
2,3305890231,2442677670,3251.3304571861167,weighted_astar,haversine_admissible,female,accompanied,elderly,car,afternoon,clear,True,4254,4954,541,160,77,4776.249268502304,156906.80613357126,77,1.0771466014072837,4865.254240087509,152041.55189348376,0.04117664099612739
2,3305890231,2442677670,3251.3304571861167,weighted_astar,network_relaxed,female,accompanied,elderly,car,afternoon,clear,True,4152,4849,537,161,77,4776.249268502304,156906.80613357126,77,1.0767397663668923,6087.765819179326,150819.04031439192,0.029029665995039977
2,3305890231,2442677670,3251.3304571861167,weighted_astar,haversine_time,female,accompanied,elderly,car,afternoon,clear,True,4918,5775,627,236,77,4776.249268502304,156906.80613357126,77,1.0795732114678283,836.05640327643,156070.74973029483,0.04778554500080645
2,3305890231,2442677670,3251.3304571861167,weighted_astar,context_aware,female,accompanied,elderly,car,afternoon,clear,True,4049,4710,513,150,77,4776.249268502304,156906.80613357126,77,1.076318420952055,6714.050851320762,150192.7552822505,0.039666771997872274
2,3305890231,2442677670,3251.3304571861167,weighted_astar,learned_history,female,accompanied,elderly,car,afternoon,clear,True,4040,4697,515,149,77,4776.249268502304,156906.80613357126,77,1.076281084096697,6805.490127339521,150101.31600623173,0.04446051899867598
3,10162558713,1200021827,4907.267808943676,bfs,n/a,male,alone,adult,car,midday,clear,True,4891,5166,6724,291,59,6530.506923309196,65334.089565156464,59,1.1106255177379412,0.0,0.0,0.006692041999485809
3,10162558713,1200021827,4907.267808943676,dfs,n/a,male,alone,adult,car,midday,clear,True,21379,21488,30074,1040,171,20132.45322434083,177253.57546606587,171,1.040046262469941,0.0,0.0,0.02993797100498341
3,10162558713,1200021827,4907.267808943676,ucs,n/a,male,alone,adult,car,midday,clear,True,3170,3646,323,166,65,6313.276656036682,63627.227796678184,65,1.0893795090158809,0.0,0.0,0.020053694999660365
3,10162558713,1200021827,4907.267808943676,greedy,zero,male,alone,adult,car,midday,clear,True,4891,5166,6724,291,59,6530.506923309196,65334.089565156464,59,1.1106255177379412,0.0,65334.089565156464,0.008304274997499306
3,10162558713,1200021827,4907.267808943676,greedy,haversine_admissible,male,alone,adult,car,midday,clear,True,77,146,88,70,68,7119.126637991547,72227.4019525151,68,1.0031730556911522,4821.643174824948,67405.75877769015,0.0005258090022834949
3,10162558713,1200021827,4907.267808943676,greedy,network_relaxed,male,alone,adult,car,midday,clear,True,64,140,67,77,63,6434.927029159937,65729.82551587146,63,1.0000002064428843,6203.1192273391425,59526.70628853232,0.00039314699824899435
3,10162558713,1200021827,4907.267808943676,greedy,haversine_time,male,alone,adult,car,midday,clear,True,77,146,88,70,68,7119.126637991547,72227.4019525151,68,1.0031730556911522,1261.8688651569453,70965.53308735816,0.0005224719934631139
3,10162558713,1200021827,4907.267808943676,greedy,context_aware,male,alone,adult,car,midday,clear,True,77,146,88,70,68,7119.126637991547,72227.4019525151,68,1.0031730556911522,5207.374628810944,67020.02732370415,0.000542350004252512
3,10162558713,1200021827,4907.267808943676,greedy,learned_history,male,alone,adult,car,midday,clear,True,77,145,88,69,68,7123.1938358142315,71380.96921485657,68,1.0031730556911522,7232.464762237421,64148.50445261915,0.0007415789950755425
